id,name,symptoms,description,treatments,medications
156,Anaphylaxis,"Breathing difficulty;Swelling;Rash","Severe allergic reaction.","Emergency treatment","Epinephrine"
157,Food Allergy,"Hives;Swelling;Digestive problems","Immune response to food.","Avoid allergens","Antihistamines"
158,Drug Allergy,"Skin rash;Itching;Swelling","Allergic reaction to medication.","Discontinue drug","Antihistamines"
159,Latex Allergy,"Skin rash;Sneezing;Itching","Allergic reaction to latex.","Avoid exposure","Antihistamines"
160,Insect Bite Allergy,"Swelling;Pain;Redness","Allergic response to insect bites.","Cold compress;Medications","Antihistamines"
161,Sunburn,"Red skin;Pain;Blisters","Skin damage due to UV rays.","Cooling;Moisturizers","Aloe vera"
162,Heat Rash,"Small red bumps;Itching","Skin irritation due to sweat.","Cooling;Dry skin","Calamine lotion"
163,Frostbite,"Numbness;Pale skin;Blisters","Freezing injury to skin.","Gradual warming","Pain relievers"
164,Pressure Ulcers,"Skin sores;Pain;Redness","Injury to skin due to pressure.","Repositioning;Wound care","Antibiotics"
165,Cellulitis,"Skin redness;Swelling;Pain","Bacterial skin infection.","Antibiotics","Cephalexin"
166,Impetigo,"Honey-colored crusts;Itching","Contagious skin infection.","Topical antibiotics","Mupirocin"
167,Boils,"Painful lump;Pus;Redness","Bacterial infection of hair follicle.","Drainage;Antibiotics","Clindamycin"
168,Abscess,"Localized pain;Swelling;Fever","Collection of pus.","Drainage;Antibiotics","Amoxicillin"
169,Fungal Nail Infection,"Thick nails;Discoloration","Fungal infection of nails.","Antifungal therapy","Terbinafine"
170,Ingrown Toenail,"Toe pain;Swelling;Redness","Toenail growing into skin.","Proper nail care;Surgery","Pain relievers"
171,Flat Feet,"Foot pain;Fatigue","Collapsed arches of feet.","Orthotic support","Pain relievers"
172,Plantar Fasciitis,"Heel pain;Stiffness","Inflammation of plantar fascia.","Stretching;Rest","NSAIDs"
173,Bunions,"Toe deformity;Foot pain","Bony bump on big toe.","Footwear modification;Surgery","Pain relievers"
174,Clubfoot,"Foot deformity;Limited movement","Congenital foot abnormality.","Casting;Surgery","No medication"
175,Achilles Tendon Rupture,"Sudden heel pain;Difficulty walking","Tear of Achilles tendon.","Surgery;Rehabilitation","Pain relievers"
176,Concussion,"Headache;Dizziness;Confusion","Mild traumatic brain injury.","Rest;Monitoring","Pain relievers"
177,Traumatic Brain Injury,"Loss of consciousness;Memory loss","Brain injury from impact.","Rehabilitation","Pain relievers"
178,Spinal Cord Injury,"Paralysis;Loss of sensation","Damage to spinal cord.","Rehabilitation","Pain relievers"
179,Burn Injury,"Skin damage;Pain;Blisters","Tissue damage from heat.","Wound care","Antibiotics"
180,Electric Shock Injury,"Burns;Muscle spasms;Confusion","Injury due to electric current.","Medical monitoring","Pain relievers"
181,Snake Bite,"Pain;Swelling;Bleeding","Venomous snake bite.","Antivenom therapy","Antivenom"
182,Dog Bite,"Bleeding;Pain;Swelling","Injury caused by dog bite.","Wound care;Vaccination","Antibiotics"
183,Cat Bite,"Pain;Redness;Swelling","Injury caused by cat bite.","Wound cleaning;Antibiotics","Amoxicillin"
184,Jellyfish Sting,"Burning pain;Red marks;Swelling","Marine animal sting.","Rinse;Medications","Pain relievers"
185,Sea Urchin Injury,"Foot pain;Swelling;Puncture wounds","Injury from sea urchin spines.","Spine removal;Soaking","Pain relievers"
186,Altitude Sickness,"Headache;Nausea;Dizziness","Illness due to high altitude.","Gradual ascent;Oxygen","Acetazolamide"
187,Motion-Induced Vertigo,"Dizziness;Nausea;Imbalance","Vertigo triggered by motion.","Vestibular therapy","Meclizine"
188,Jet Lag,"Sleep disturbance;Fatigue;Irritability","Circadian rhythm disruption.","Sleep adjustment","Melatonin"
